i,date,env_equity_norm,naut_equity,abs_diff
0,2023-01-03,100000.0,100000.0,0.0
1,2023-01-04,100811.74,100806.44,5.3
2,2023-01-05,99628.97,99631.4,2.43
3,2023-01-06,101428.68,101419.34,9.34
4,2023-01-08,101413.46,101404.23,9.24
5,2023-01-09,101413.46,101404.23,9.24
6,2023-01-10,101682.13,101672.02,10.1
7,2023-01-11,101613.87,101603.98,9.88
8,2023-01-12,102756.97,102743.38,13.58
9,2023-01-13,102741.55,102728.02,13.53
10,2023-01-15,102741.55,102728.02,13.53
11,2023-01-16,102741.55,102728.02,13.53
12,2023-01-17,102741.55,102728.02,13.53
13,2023-01-18,102741.55,102728.02,13.53
14,2023-01-19,102741.55,102728.02,13.53
15,2023-01-20,102741.55,102728.02,13.53
16,2023-01-22,102741.55,102728.02,13.53
17,2023-01-23,102741.55,102728.02,13.53
18,2023-01-24,102741.55,102728.02,13.53
19,2023-01-25,102741.55,102728.02,13.53
20,2023-01-26,102741.55,102728.02,13.53
21,2023-01-27,102741.55,102728.02,13.53
22,2023-01-29,102741.55,102728.02,13.53
23,2023-01-30,102741.55,102728.02,13.53
24,2023-01-31,102741.55,102728.02,13.53
25,2023-02-01,102741.55,102728.02,13.53
26,2023-02-02,104699.48,104660.73,38.75
27,2023-02-03,102107.46,102103.66,3.8
28,2023-02-05,102101.99,102098.27,3.72
29,2023-02-06,102086.68,102083.16,3.51
30,2023-02-07,102086.68,102083.16,3.51
31,2023-02-08,102086.68,102083.16,3.51
32,2023-02-09,102086.68,102083.16,3.51
33,2023-02-10,102086.68,102083.16,3.51
34,2023-02-12,102086.68,102083.16,3.51
35,2023-02-13,102086.68,102083.16,3.51
36,2023-02-14,102086.68,102083.16,3.51
37,2023-02-15,102086.68,102083.16,3.51
38,2023-02-16,102086.68,102083.16,3.51
39,2023-02-17,102086.68,102083.16,3.51
40,2023-02-19,102086.68,102083.16,3.51
41,2023-02-20,102086.68,102083.16,3.51
42,2023-02-21,102086.68,102083.16,3.51
43,2023-02-22,102086.68,102083.16,3.51
44,2023-02-23,102086.68,102083.16,3.51
45,2023-02-24,102086.68,102083.16,3.51
46,2023-02-26,102086.68,102083.16,3.51
47,2023-02-27,102086.68,102083.16,3.51
48,2023-02-28,102086.68,102083.16,3.51
49,2023-03-01,102086.68,102083.16,3.51
50,2023-03-02,102086.68,102083.16,3.51
51,2023-03-03,102086.68,102083.16,3.51
52,2023-03-05,102086.68,102083.16,3.51
53,2023-03-06,102086.68,102083.16,3.51
54,2023-03-07,102086.68,102083.16,3.51
55,2023-03-08,102086.68,102083.16,3.51
56,2023-03-09,102086.68,102083.16,3.51
57,2023-03-10,102086.68,102083.16,3.51
58,2023-03-12,102086.68,102083.16,3.51
59,2023-03-13,105901.79,105873.07,28.73
60,2023-03-14,105333.36,105309.14,24.22
61,2023-03-15,106116.23,106087.39,28.84
62,2023-03-16,106189.81,106160.54,29.27
63,2023-03-17,109997.91,109946.19,51.72
64,2023-03-19,109480.06,109431.39,48.67
65,2023-03-20,109470.65,109422.04,48.61
66,2023-03-21,107362.17,107325.99,36.18
67,2023-03-22,108981.02,108935.29,45.73
68,2023-03-23,110318.8,110265.19,53.61
69,2023-03-24,109480.06,109431.39,48.67
70,2023-03-26,108959.99,108914.39,45.6
71,2023-03-27,108237.43,108196.09,41.34
72,2023-03-28,108221.2,108179.95,41.25
73,2023-03-29,108221.2,108179.95,41.25
74,2023-03-30,108221.2,108179.95,41.25
75,2023-03-31,108221.2,108179.95,41.25
76,2023-04-01,108221.2,108179.95,41.25
77,2023-04-02,109171.41,109123.41,48.0
78,2023-04-03,109155.04,109107.16,47.88
79,2023-04-04,109155.04,109107.16,47.88
80,2023-04-05,109145.69,109097.98,47.71
81,2023-04-06,108425.13,108390.96,34.17
82,2023-04-09,108268.49,108237.26,31.22
83,2023-04-10,108252.25,108221.33,30.92
84,2023-04-11,108252.25,108221.33,30.92
85,2023-04-12,108252.25,108221.33,30.92
86,2023-04-13,108252.25,108221.33,30.92
87,2023-04-14,110128.98,110096.15,32.84
88,2023-04-16,110112.46,110080.21,32.25
89,2023-04-17,110112.46,110080.21,32.25
90,2023-04-18,110112.46,110080.21,32.25
91,2023-04-19,110112.46,110080.21,32.25
92,2023-04-20,110112.46,110080.21,32.25
93,2023-04-21,110112.46,110080.21,32.25
94,2023-04-23,110112.46,110080.21,32.25
95,2023-04-24,110112.46,110080.21,32.25
96,2023-04-25,110112.46,110080.21,32.25
97,2023-04-26,110112.46,110080.21,32.25
98,2023-04-27,110112.46,110080.21,32.25
99,2023-04-28,110112.46,110080.21,32.25
100,2023-04-30,110112.46,110080.21,32.25
101,2023-05-01,110112.46,110080.21,32.25
102,2023-05-02,110112.46,110080.21,32.25
103,2023-05-03,110112.46,110080.21,32.25
104,2023-05-04,110112.46,110080.21,32.25
105,2023-05-05,111900.85,111845.24,55.61
106,2023-05-07,111884.07,111829.21,54.85
107,2023-05-08,111884.07,111829.21,54.85
108,2023-05-09,111884.07,111829.21,54.85
109,2023-05-10,111884.07,111829.21,54.85
110,2023-05-11,111884.07,111829.21,54.85
111,2023-05-12,111884.07,111829.21,54.85
112,2023-05-14,111884.07,111829.21,54.85
113,2023-05-15,111884.07,111829.21,54.85
114,2023-05-16,111884.07,111829.21,54.85
115,2023-05-17,111884.07,111829.21,54.85
116,2023-05-18,111884.07,111829.21,54.85
117,2023-05-19,111884.07,111829.21,54.85
118,2023-05-21,111884.07,111829.21,54.85
119,2023-05-22,111884.07,111829.21,54.85
120,2023-05-23,111884.07,111829.21,54.85
121,2023-05-24,111884.07,111829.21,54.85
122,2023-05-25,111884.07,111829.21,54.85
123,2023-05-26,111884.07,111829.21,54.85
124,2023-05-28,111884.07,111829.21,54.85
125,2023-05-29,111884.07,111829.21,54.85
126,2023-05-30,111884.07,111829.21,54.85
127,2023-05-31,111884.07,111829.21,54.85
128,2023-06-01,111884.07,111829.21,54.85
129,2023-06-02,111884.07,111829.21,54.85
130,2023-06-04,111884.07,111829.21,54.85
131,2023-06-05,111884.07,111829.21,54.85
132,2023-06-06,111884.07,111829.21,54.85
133,2023-06-07,111884.07,111829.21,54.85
134,2023-06-08,111884.07,111829.21,54.85
135,2023-06-09,111884.07,111829.21,54.85
136,2023-06-11,111884.07,111829.21,54.85
137,2023-06-12,111884.07,111829.21,54.85
138,2023-06-13,111884.07,111829.21,54.85
139,2023-06-14,111884.07,111829.21,54.85
140,2023-06-15,111884.07,111829.21,54.85
141,2023-06-16,111884.07,111829.21,54.85
142,2023-06-18,111884.07,111829.21,54.85
143,2023-06-19,111884.07,111829.21,54.85
144,2023-06-20,111884.07,111829.21,54.85
145,2023-06-21,111884.07,111829.21,54.85
146,2023-06-22,111884.07,111829.21,54.85
147,2023-06-23,111884.07,111829.21,54.85
148,2023-06-25,111884.07,111829.21,54.85
149,2023-06-26,111884.07,111829.21,54.85
150,2023-06-27,111884.07,111829.21,54.85
151,2023-06-28,111884.07,111829.21,54.85
152,2023-06-29,111884.07,111829.21,54.85
153,2023-06-30,111884.07,111829.21,54.85
154,2023-07-01,111884.07,111829.21,54.85
155,2023-07-02,111884.07,111829.21,54.85
156,2023-07-03,111884.07,111829.21,54.85
157,2023-07-04,111884.07,111829.21,54.85
158,2023-07-05,111884.07,111829.21,54.85
159,2023-07-06,111884.07,111829.21,54.85
160,2023-07-07,111884.07,111829.21,54.85
161,2023-07-09,111884.07,111829.21,54.85
162,2023-07-10,111884.07,111829.21,54.85
163,2023-07-11,111884.07,111829.21,54.85
164,2023-07-12,111884.07,111829.21,54.85
165,2023-07-13,111884.07,111829.21,54.85
166,2023-07-14,111884.07,111829.21,54.85
167,2023-07-16,111884.07,111829.21,54.85
168,2023-07-17,111884.07,111829.21,54.85
169,2023-07-18,111884.07,111829.21,54.85
170,2023-07-19,111884.07,111829.21,54.85
171,2023-07-20,111884.07,111829.21,54.85
172,2023-07-21,111884.07,111829.21,54.85
173,2023-07-23,111884.07,111829.21,54.85
174,2023-07-24,111884.07,111829.21,54.85
175,2023-07-25,111884.07,111829.21,54.85
176,2023-07-26,111884.07,111829.21,54.85
177,2023-07-27,111884.07,111829.21,54.85
178,2023-07-28,111884.07,111829.21,54.85
179,2023-07-30,111884.07,111829.21,54.85
180,2023-07-31,111884.07,111829.21,54.85
181,2023-08-01,111884.07,111829.21,54.85
182,2023-08-02,111884.07,111829.21,54.85
183,2023-08-03,111884.07,111829.21,54.85
184,2023-08-04,111884.07,111829.21,54.85
185,2023-08-06,111884.07,111829.21,54.85
186,2023-08-07,111884.07,111829.21,54.85
187,2023-08-08,111884.07,111829.21,54.85
188,2023-08-09,111884.07,111829.21,54.85
189,2023-08-10,111884.07,111829.21,54.85
190,2023-08-11,111884.07,111829.21,54.85
191,2023-08-13,111884.07,111829.21,54.85
192,2023-08-14,112936.0,112877.44,58.56
193,2023-08-15,112919.06,112860.56,58.5
194,2023-08-16,112919.06,112860.56,58.5
195,2023-08-17,112919.06,112860.56,58.5
196,2023-08-18,112919.06,112860.56,58.5
197,2023-08-20,112919.06,112860.56,58.5
198,2023-08-21,112919.06,112860.56,58.5
199,2023-08-22,112919.06,112860.56,58.5
200,2023-08-23,112919.06,112860.56,58.5
201,2023-08-24,112919.06,112860.56,58.5
202,2023-08-25,112919.06,112860.56,58.5
203,2023-08-27,112919.06,112860.56,58.5
204,2023-08-28,112919.06,112860.56,58.5
205,2023-08-29,112919.06,112860.56,58.5
206,2023-08-30,112919.06,112860.56,58.5
207,2023-08-31,112919.06,112860.56,58.5
208,2023-09-01,112919.06,112860.56,58.5
209,2023-09-03,112919.06,112860.56,58.5
210,2023-09-04,112919.06,112860.56,58.5
211,2023-09-05,112919.06,112860.56,58.5
212,2023-09-06,112919.06,112860.56,58.5
213,2023-09-07,112919.06,112860.56,58.5
214,2023-09-08,112919.06,112860.56,58.5
215,2023-09-10,112919.06,112860.56,58.5
216,2023-09-11,112919.06,112860.56,58.5
217,2023-09-12,112919.06,112860.56,58.5
218,2023-09-13,112919.06,112860.56,58.5
219,2023-09-14,112919.06,112860.56,58.5
220,2023-09-15,112919.06,112860.56,58.5
221,2023-09-17,112919.06,112860.56,58.5
222,2023-09-18,112919.06,112860.56,58.5
223,2023-09-19,112919.06,112860.56,58.5
224,2023-09-20,112919.06,112860.56,58.5
225,2023-09-21,112919.06,112860.56,58.5
226,2023-09-22,112919.06,112860.56,58.5
227,2023-09-24,112919.06,112860.56,58.5
228,2023-09-25,112919.06,112860.56,58.5
229,2023-09-26,112919.06,112860.56,58.5
230,2023-09-27,112919.06,112860.56,58.5
231,2023-09-28,112919.06,112860.56,58.5
232,2023-09-29,112919.06,112860.56,58.5
233,2023-10-01,112919.06,112860.56,58.5
234,2023-10-02,121791.03,121591.1,199.93
235,2023-10-03,121772.76,121575.74,197.01
236,2023-10-04,121772.76,121575.74,197.01
237,2023-10-05,121772.76,121575.74,197.01
238,2023-10-06,122530.41,122323.32,207.08
239,2023-10-08,122512.03,122305.19,206.84
240,2023-10-09,126998.08,126763.71,234.37
241,2023-10-10,126979.03,126746.12,232.91
242,2023-10-11,126979.03,126746.12,232.91
243,2023-10-12,126979.03,126746.12,232.91
244,2023-10-13,126979.03,126746.12,232.91
245,2023-10-15,130145.79,129879.13,266.66
246,2023-10-16,130126.27,129859.81,266.46
247,2023-10-17,130126.27,129859.81,266.46
248,2023-10-18,130126.27,129859.81,266.46
249,2023-10-19,130126.27,129859.81,266.46
250,2023-10-20,130126.27,129859.81,266.46
251,2023-10-22,130126.27,129859.81,266.46
252,2023-10-23,132258.21,131963.43,294.78
253,2023-10-24,132238.37,131944.5,293.88
254,2023-10-25,132238.37,131944.5,293.88
255,2023-10-26,132238.37,131944.5,293.88
256,2023-10-27,132238.37,131944.5,293.88
257,2023-10-29,132238.37,131944.5,293.88
258,2023-10-30,132459.41,132164.35,295.06
259,2023-10-31,132439.54,132144.59,294.96
260,2023-11-01,132439.54,132144.59,294.96
261,2023-11-02,132439.54,132144.59,294.96
262,2023-11-03,132439.54,132144.59,294.96
263,2023-11-05,132439.54,132144.59,294.96
264,2023-11-06,132439.54,132144.59,294.96
265,2023-11-07,132439.54,132144.59,294.96
266,2023-11-08,132439.54,132144.59,294.96
267,2023-11-09,132439.54,132144.59,294.96
268,2023-11-10,132439.54,132144.59,294.96
269,2023-11-12,132439.54,132144.59,294.96
270,2023-11-13,132439.54,132144.59,294.96
271,2023-11-14,132439.54,132144.59,294.96
272,2023-11-15,132439.54,132144.59,294.96
273,2023-11-16,132439.54,132144.59,294.96
274,2023-11-17,132439.54,132144.59,294.96
275,2023-11-19,132439.54,132144.59,294.96
276,2023-11-20,132439.54,132144.59,294.96
277,2023-11-21,131039.67,130764.75,274.92
278,2023-11-22,131020.02,130744.97,275.05
279,2023-11-23,131020.02,130744.97,275.05
280,2023-11-24,131020.02,130744.97,275.05
281,2023-11-26,131020.02,130744.97,275.05
282,2023-11-27,131020.02,130744.97,275.05
283,2023-11-28,131020.02,130744.97,275.05
284,2023-11-29,131020.02,130744.97,275.05
285,2023-11-30,131020.02,130744.97,275.05
286,2023-12-01,131020.02,130744.97,275.05
287,2023-12-03,131020.02,130744.97,275.05
288,2023-12-04,132624.76,132340.68,284.08
289,2023-12-05,132001.8,131721.23,280.58
290,2023-12-06,132387.48,132104.73,282.75
291,2023-12-07,132601.88,132317.93,283.96
292,2023-12-08,131000.36,130725.43,274.94
293,2023-12-10,131979.58,131699.13,280.45
294,2023-12-11,129539.39,129272.68,266.71
295,2023-12-12,129383.16,129117.33,265.83
296,2023-12-13,132516.25,132232.78,283.47
297,2023-12-14,133102.6,132815.83,286.78
298,2023-12-15,131979.58,131699.13,280.45
299,2023-12-17,134184.45,133891.58,292.87
300,2023-12-18,134164.32,133871.56,292.75
301,2023-12-19,134999.13,134704.21,294.92
302,2023-12-20,134415.5,134122.09,293.4
303,2023-12-21,135373.0,135077.11,295.89
304,2023-12-22,134871.31,134576.59,294.73
305,2023-12-24,134851.08,134556.27,294.82
306,2023-12-26,134851.08,134556.27,294.82
307,2023-12-27,135486.28,135189.36,296.92
308,2023-12-28,136243.64,135944.45,299.19
309,2023-12-29,136032.62,135736.47,296.14
310,2023-12-31,134887.07,134607.42,279.65
311,2024-01-01,134866.84,134587.48,279.35
312,2024-01-02,134866.84,134587.48,279.35
313,2024-01-03,134866.84,134587.48,279.35
314,2024-01-04,134866.84,134587.48,279.35
315,2024-01-05,134866.84,134587.48,279.35
316,2024-01-07,134866.84,134587.48,279.35
317,2024-01-08,134866.84,134587.48,279.35
318,2024-01-09,134866.84,134587.48,279.35
319,2024-01-10,134866.84,134587.48,279.35
320,2024-01-11,134866.84,134587.48,279.35
321,2024-01-12,134866.84,134587.48,279.35
322,2024-01-14,134866.84,134587.48,279.35
323,2024-01-15,134866.84,134587.48,279.35
324,2024-01-16,134866.84,134587.48,279.35
325,2024-01-17,134866.84,134587.48,279.35
326,2024-01-18,134866.84,134587.48,279.35
327,2024-01-19,134866.84,134587.48,279.35
328,2024-01-21,134866.84,134587.48,279.35
329,2024-01-22,134866.84,134587.48,279.35
330,2024-01-23,134866.84,134587.48,279.35
331,2024-01-24,134866.84,134587.48,279.35
332,2024-01-25,134866.84,134587.48,279.35
333,2024-01-26,134866.84,134587.48,279.35
334,2024-01-28,134866.84,134587.48,279.35
335,2024-01-29,134866.84,134587.48,279.35
336,2024-01-30,134866.84,134587.48,279.35
337,2024-01-31,134866.84,134587.48,279.35
338,2024-02-01,134866.84,134587.48,279.35
339,2024-02-02,134866.84,134587.48,279.35
340,2024-02-04,134866.84,134587.48,279.35
341,2024-02-05,134866.84,134587.48,279.35
342,2024-02-06,134866.84,134587.48,279.35
343,2024-02-07,134866.84,134587.48,279.35
344,2024-02-08,134866.84,134587.48,279.35
345,2024-02-09,134866.84,134587.48,279.35
346,2024-02-11,134866.84,134587.48,279.35
347,2024-02-12,134866.84,134587.48,279.35
348,2024-02-13,134866.84,134587.48,279.35
349,2024-02-14,134866.84,134587.48,279.35
350,2024-02-15,134866.84,134587.48,279.35
351,2024-02-16,134866.84,134587.48,279.35
352,2024-02-18,134866.84,134587.48,279.35
353,2024-02-19,134866.84,134587.48,279.35
354,2024-02-20,134866.84,134587.48,279.35
355,2024-02-21,134866.84,134587.48,279.35
356,2024-02-22,134866.84,134587.48,279.35
357,2024-02-23,134866.84,134587.48,279.35
358,2024-02-25,134866.84,134587.48,279.35
359,2024-02-26,134866.84,134587.48,279.35
360,2024-02-27,134866.84,134587.48,279.35
361,2024-02-28,134866.84,134587.48,279.35
362,2024-02-29,134866.84,134587.48,279.35
363,2024-03-01,134866.84,134587.48,279.35
364,2024-03-03,141014.6,140666.04,348.56
365,2024-03-04,136853.84,136552.12,301.72
366,2024-03-05,137732.21,137420.6,311.61
367,2024-03-06,139039.08,138712.76,326.32
368,2024-03-07,139809.35,139474.36,334.99
369,2024-03-08,141014.6,140666.04,348.56
370,2024-03-10,139543.32,139211.32,331.99
371,2024-03-11,141279.99,140928.44,351.54
372,2024-03-12,141258.8,140907.49,351.31
373,2024-03-13,141258.8,140907.49,351.31
374,2024-03-14,141258.8,140907.49,351.31
375,2024-03-15,141258.8,140907.49,351.31
376,2024-03-17,141258.8,140907.49,351.31
377,2024-03-18,141258.8,140907.49,351.31
378,2024-03-19,141258.8,140907.49,351.31
379,2024-03-20,141258.8,140907.49,351.31
380,2024-03-21,141258.8,140907.49,351.31
381,2024-03-22,141258.8,140907.49,351.31
382,2024-03-24,141258.8,140907.49,351.31
383,2024-03-25,141258.8,140907.49,351.31
384,2024-03-26,141686.35,141328.24,358.1
385,2024-03-27,141665.09,141307.33,357.77
386,2024-03-28,141665.09,141307.33,357.77
387,2024-03-31,141665.09,141307.33,357.77
388,2024-04-01,136902.48,136608.16,294.31
389,2024-04-02,136881.94,136587.9,294.04
390,2024-04-03,136881.94,136587.9,294.04
391,2024-04-04,136881.94,136587.9,294.04
392,2024-04-05,136881.94,136587.9,294.04
393,2024-04-07,135983.58,135701.12,282.46
394,2024-04-08,135963.18,135680.72,282.46
395,2024-04-09,135963.18,135680.72,282.46
396,2024-04-10,135963.18,135680.72,282.46
397,2024-04-11,135963.18,135680.72,282.46
398,2024-04-12,135963.18,135680.72,282.46
399,2024-04-14,135963.18,135680.72,282.46
400,2024-04-15,135963.18,135680.72,282.46
401,2024-04-16,135963.18,135680.72,282.46
402,2024-04-17,135963.18,135680.72,282.46
403,2024-04-18,135963.18,135680.72,282.46
404,2024-04-19,135963.18,135680.72,282.46
405,2024-04-21,135963.18,135680.72,282.46
406,2024-04-22,135963.18,135680.72,282.46
407,2024-04-23,135963.18,135680.72,282.46
408,2024-04-24,135963.18,135680.72,282.46
409,2024-04-25,135963.18,135680.72,282.46
410,2024-04-26,135963.18,135680.72,282.46
411,2024-04-28,135963.18,135680.72,282.46
412,2024-04-29,135963.18,135680.72,282.46
413,2024-04-30,135963.18,135680.72,282.46
414,2024-05-01,135963.18,135680.72,282.46
415,2024-05-02,135963.18,135680.72,282.46
416,2024-05-03,135963.18,135680.72,282.46
417,2024-05-05,135963.18,135680.72,282.46
418,2024-05-06,135963.18,135680.72,282.46
419,2024-05-07,135963.18,135680.72,282.46
420,2024-05-08,135963.18,135680.72,282.46
421,2024-05-09,135963.18,135680.72,282.46
422,2024-05-10,135963.18,135680.72,282.46
423,2024-05-12,135963.18,135680.72,282.46
424,2024-05-13,140318.7,140011.65,307.06
425,2024-05-14,140297.65,139992.02,305.63
426,2024-05-15,140297.65,139992.02,305.63
427,2024-05-16,140297.65,139992.02,305.63
428,2024-05-17,140297.65,139992.02,305.63
429,2024-05-19,144924.52,144530.24,394.28
430,2024-05-20,144902.78,144510.29,392.5
431,2024-05-21,144902.78,144510.29,392.5
432,2024-05-22,144902.78,144510.29,392.5
433,2024-05-23,144902.78,144510.29,392.5
434,2024-05-24,144902.78,144510.29,392.5
435,2024-05-26,144902.78,144510.29,392.5
436,2024-05-27,144902.78,144510.29,392.5
437,2024-05-28,144902.78,144510.29,392.5
438,2024-05-29,144902.78,144510.29,392.5
439,2024-05-30,144902.78,144510.29,392.5
440,2024-05-31,144902.78,144510.29,392.5
441,2024-06-01,144902.78,144510.29,392.5
442,2024-06-02,144902.78,144510.29,392.5
443,2024-06-03,144902.78,144510.29,392.5
444,2024-06-04,144902.78,144510.29,392.5
445,2024-06-05,144902.78,144510.29,392.5
446,2024-06-06,144902.78,144510.29,392.5
447,2024-06-07,144902.78,144510.29,392.5
448,2024-06-09,144902.78,144510.29,392.5
449,2024-06-10,144902.78,144510.29,392.5
450,2024-06-11,144902.78,144510.29,392.5
451,2024-06-12,144902.78,144510.29,392.5
452,2024-06-13,144902.78,144510.29,392.5
453,2024-06-14,144902.78,144510.29,392.5
454,2024-06-16,144902.78,144510.29,392.5
455,2024-06-17,144902.78,144510.29,392.5
456,2024-06-18,144902.78,144510.29,392.5
457,2024-06-19,144902.78,144510.29,392.5
458,2024-06-20,144902.78,144510.29,392.5
459,2024-06-21,144902.78,144510.29,392.5
460,2024-06-23,144902.78,144510.29,392.5
