date,side,pos_before,pos_after,price,cash,net_liq_equity,notional,leverage
2023-01-03,BUY,0.0,54.0,1839.47,653.72,99985.1,99331.38,0.993
2023-01-06,SELL,54.0,0.0,1866.03,101404.23,101404.23,0.0,0.0
2023-01-09,BUY,0.0,54.0,1871.67,318.88,101389.06,101070.18,0.997
2023-01-12,SELL,54.0,0.0,1896.75,102728.02,102728.02,0.0,0.0
2023-02-01,SELL,0.0,-52.0,1950.06,204115.93,102712.81,101403.12,0.987
2023-02-02,BUY,-52.0,54.0,1912.6,1349.92,104630.32,103280.4,0.987
2023-02-03,SELL,54.0,-54.0,1865.81,202827.17,102073.43,100753.74,0.987
2023-02-05,BUY,-54.0,0.0,1865.35,102083.16,102083.16,0.0,0.0
2023-03-12,SELL,0.0,-51.0,1988.17,203464.63,102067.96,101396.67,0.993
2023-03-13,BUY,-51.0,55.0,1913.56,596.84,105842.64,105245.8,0.994
2023-03-27,SELL,55.0,0.0,1956.35,108179.95,108179.95,0.0,0.0
2023-04-01,BUY,0.0,54.0,1989.55,728.13,108163.83,107435.7,0.993
2023-04-02,SELL,54.0,0.0,2007.32,109107.16,109107.16,0.0,0.0
2023-04-04,BUY,0.0,53.0,2020.53,2003.0,109091.09,107088.09,0.982
2023-04-09,SELL,53.0,0.0,2004.42,108221.33,108221.33,0.0,0.0
2023-04-13,SELL,0.0,-53.0,2040.1,216330.41,108205.11,108125.3,0.999
2023-04-14,BUY,-53.0,0.0,2004.42,110080.21,110080.21,0.0,0.0
2023-05-04,SELL,0.0,-53.0,2050.15,218721.86,110063.91,108657.95,0.987
2023-05-05,BUY,-53.0,0.0,2016.54,111829.21,111829.21,0.0,0.0
2023-08-13,BUY,0.0,59.0,1889.37,339.66,111812.49,111472.83,0.997
2023-08-14,SELL,59.0,0.0,1907.42,112860.56,112860.56,0.0,0.0
2023-10-01,SELL,0.0,-56.0,1983.97,223946.22,112843.9,111102.32,0.985
2023-10-02,BUY,-56.0,0.0,1827.77,121575.74,121575.74,0.0,0.0
2023-10-05,BUY,0.0,66.0,1820.24,1421.88,121557.72,120135.84,0.988
2023-10-06,SELL,66.0,0.0,1831.84,122305.19,122305.19,0.0,0.0
2023-10-08,SELL,0.0,-63.0,1932.41,244028.76,122286.93,121741.83,0.996
2023-10-09,BUY,-63.0,0.0,1861.35,126746.12,126746.12,0.0,0.0
2023-10-13,BUY,0.0,65.0,1932.41,1120.63,126727.28,125606.65,0.991
2023-10-15,SELL,65.0,0.0,1980.9,129859.81,129859.81,0.0,0.0
2023-10-22,SELL,0.0,-64.0,2005.91,258218.79,129840.55,128378.24,0.989
2023-10-23,BUY,-64.0,0.0,1972.74,131944.5,131944.5,0.0,0.0
2023-10-29,BUY,0.0,66.0,1992.52,418.45,131924.77,131506.32,0.997
2023-10-30,SELL,66.0,0.0,1996.15,132144.59,132144.59,0.0,0.0
2023-11-20,SELL,0.0,-66.0,1977.65,262649.91,132125.01,130524.9,0.988
