case,,price_t,action,prev_pos,pos_after,net_ret,cost,equity,reward
up_long,0,100.0,2,0,1,0.009850000000000008,0.00015000000000000001,1.0098485,-0.090075
up_long,1,101.0,2,1,1,0.00990099009900991,0.0,1.019847,0.00990099009900991
up_long,2,102.0,2,1,1,0.009803921568627416,0.0,1.0298455,0.009803921568627416
up_long,3,103.0,2,1,1,0.009708737864077666,0.0,1.039844,0.009708737864077666
up_long,4,104.0,2,1,1,0.009615384615384581,0.0,1.0498425,0.009615384615384581
up_short,0,100.0,0,0,-1,-0.01015000000000001,0.00015000000000000001,0.9898515,-0.13037200000000002
up_short,1,101.0,0,-1,-1,-0.00990099009900991,0.0,0.9800509900990099,-0.04979900990099018
up_short,2,102.0,0,-1,-1,-0.009803921568627416,0.0,0.9704426470588235,-0.06891862745098032
up_short,3,103.0,0,-1,-1,-0.009708737864077666,0.0,0.9610208737864078,-0.08766699029126213
up_short,4,104.0,0,-1,-1,-0.009615384615384581,0.0,0.9517802884615385,-0.10605480769230757
up_flat,0,100.0,1,0,0,0.0,0.0,1.0,0.0
up_flat,1,101.0,1,0,0,0.0,0.0,1.0,0.0
up_flat,2,102.0,1,0,0,0.0,0.0,1.0,0.0
up_flat,3,103.0,1,0,0,0.0,0.0,1.0,0.0
up_flat,4,104.0,1,0,0,0.0,0.0,1.0,0.0
flat_series,0,100.0,2,0,1,-0.00015000000000000001,0.00015000000000000001,0.99985,-0.10037499999999998
flat_series,1,100.0,2,1,1,0.0,0.0,0.99985,-0.00029999999999996696
flat_series,2,100.0,1,1,0,-0.00015000000000000001,0.00015000000000000001,0.9997000225,-0.100674955
repeat_long,0,100.0,2,0,1,0.009850000000000008,0.00015000000000000001,1.0098485,-0.090075
repeat_long,1,101.0,2,1,1,0.00990099009900991,0.0,1.019847,0.00990099009900991
repeat_long,2,102.0,2,1,1,0.009803921568627416,0.0,1.0298455,0.009803921568627416
flip,0,100.0,2,0,1,0.009850000000000008,0.00015000000000000001,1.0098485,-0.090075
flip,1,101.0,0,1,-1,-0.01020099009900991,0.00030000000000000003,0.9995500449999999,-0.2304470297029704
